"Organization","Address","Phone","URL","Description"
"KCEOC Community Action Partnership Women's emergency Support Center","U.S. Hwy 25E P.O. Box 490 Barbourville, KY 40906","606-546-3152","","Women and children (15 semi-private beds, length of stay based on need) meals and clothing; supportive services and transportation."
"Mental Health Services - Cumberland River Comprehensive Care Center","317 Cumberland Ave Corbin, KY 40906","606-546-3104","","Community Mental Health Center; mental health assistance and service referrals; Substance abuse services; intellectual or developmental disabilities services; Supportive Community Living programs; children's services and First Steps/Early intervention (CBIS) Services provided in all counties in the Cumberland River ADD."
"New Hope Counseling Recovery","","606-594-7479","http://www.nhcr4.com/","fb@NewHopeCounselingRecoveryLLC Inspiring Hope Changing Lives"
"New Hope Village Apartments - Cumberland River Comprehensive Care Center","P.O. Box 568 Corbin, KY 40701","606-528-7010 ext 202","","Mentally Ill adults (11 one-bedroom units"
"Permanent Housing - Appalachian Phoenix House Cumberland River Comprehensive Care","401 Roy Kidd Ave. Corbin, KY 40701","606-528-4381","","17-bed fully staffed residential program housing mentally ill men and women."
"Redemption Road Recovery/Rehab","Barbourville, Ky","606-545-5169","",""
"Family Options","","606-621-9800 606-392-4113","","Counseling"
"Healing Journey of Recovery","","606-314-0221","","Counseling"
"KY Counseling Center","","855-889-3153","","Counseling"
"New Frontiers: Clinical Counseling","","606-263-1339","","Counseling"
"New Hope Counseling Recovery","","606-594-7479","http://www.nhcr4u.com/","fb@NewHopeCounselingRecoveryLLC Inspiring Hope Changing Lives"
"Second Mile Behavioral Health","280 Levi Jackson Mill Rd. London, KY 40744","606-657-5504","http://www.secondmilebehavioral.com/","Therapy, case management, community support, and more"
"True to You Counseling Services","","859-757-1846","","Counseling"
"A Time to Shine Child Care","","606-864-0783","","Day Care"
"Calvary Baptist Child Care","","606-864-7071","","Day Care"
"Community Action Counsil the Prep@Laurel Co.","","606-862-2068","","Day Care"
"Giggles and Grins Preschool & Daycare","","606-877-2811","","Day Care"
"KCEOC","","606-528-9531 / 606-546-3152","","Day Care /assistance with utilities"
"Kids First of Lily","","606-524-6454","","Day Care"
"Kountry Kids Child Care","","606-877-2606","","Day Care"
"Little Learners Education Center","","606-877-1250","","Day Care"
"Little Shepherds","","606-877-2601","","Day Care"
"Sonlight Christian Preschool","","606-878-0030","","Day Care"
"Tumble Station Child Care","","606-864-7473","","Day Care"
"Wonderland Preschool and Child Care","","606-878-8199","","Day Care"
"London-Laurel Communications Center","","606-878-7000","","Dispatch"
"Bush Elementary","","606-862-4618","","Educaiton"
"Campground Elementary","","606-862-4625","","Education"
"Center for Innovation","","606-862-5580","","Education"
"Cold Hill Elementary","","606-862-4632","","Education"
"Colony Elementary","","606-862-4639","","Education"
"Cumberland Valley Domestic Violence Services","P.O. Box 2162 London, KY 40456","606-843-2022 606-256-9511, 800-755-5348 crisis line","http://www.cvdvs.org/","A safe and secure environment with food, clothing, basic necessities, a 20-bed emergency shelter and advocacy center for victims of domestic violence and their children in Cumberland Valley Area Development District"
"Day Treatment","","606-862-6605","","Education"
"East Bernstadt Independent School","","606-843-6221","","Education"
"EKU Adult Education Center","","859-622-8065","","Education"
"GED Center/Skills U Program @ Laurel Co Adult Education","","606-878-9134","","Education"
"Corbin Campus","","606-528-0379","","Education"
"Hazel Green Elementary","","606-862-4647","","Education"
"Hunter Hills Elementary","","606-862-4655","","Education"
"Johnson Elementary","","606-862-4664","","Educaiton"
"Keavy Elementary","","606-862-4672","","Education"
"Kentucky State University (Adult Learner Programs)","","502-597-5614","","Education"
"Laurel County Board of Education","","606-862-4600","","Education"
"Laurel County Cooperative Extension Family & Consumer Sciences","","606-864-4167","","Education"
"London Elementary","","606-862-4679","","Education"
"McDaniel Learning Center","","606-862-4781","","Education"
"North Laurel High School","","606-862-4699","","Education"
"North Laurel Middle School","","606-862-4715","","Education"
"South Laurel High School","","606-862-4727","","Education"
"South Laurel Middle School","","606-862-4745","","Education"
"Southern KY Area Health Education Center","","606-864-1432","","Education"
"Sublimity Elementary","","606-862-4692","","Education"
"Union College Adult Learning - Jobs Program","","606-546-4151 ext. 245","","Education"
"Wyan-Pine Elementary","","606-862-5400","","Education"
"Bald Rock Volunteer Fire Department","","606-864-2727","","Fire/Rescue"
"Bush Fire Department","","606-864-6633","","Fire/Rescue"
"Bush Fire Service","","888-764-2244","","Fire/Rescue"
"Campground Volunteer Fire Department","","606-878-9687","","Fire/Rescue"
"Corbin Fire Department","","606-523-6509","","Fire/Rescue"
"Cross Roads Fire Department","","606-843-2252","","Fire/Rescue"
"East Bernstadt Volunteer Fire Department","2591 N. Laurel Rd, London","606-843-6511","","Fire/Rescue"
"Lily Volunteer Fire Department","","606-878-6957","","Fire/Rescue"
"London Fire Department","","606-864-2922","","Fire/Rescue"
"London-Laurel County Rescue Squad","","606-877-1108, 606-878-8922","","Fire/Rescue"
"McWhorter Volunteer Fire Department","","606-877-6509","","Fire/Rescue"
"Swiss Colony Fire Department","","606-877-1029","","Fire/Rescue"
"West Knox Fire Department","","606-523-5016","","Fire/Rescue"
"Calvary Baprist Church","111 N. McWhorter St London, KY 40741","606-864-7071","","Food Box give a ways. Find us on FB for find dates."
"CCC- Co-operative Com-munity Care","755 S Dixie St London, KY 40741","606-864-2351","","Helps with utilities; Applications on Tuesdays& Thursdays; Food Pantry Wednesday distribution, need card, ID, proof of income and proof of residence. Find us on FB"
"Central Baptist Church","201 W. 4T St Corbin, KY","606-528-6650","","Food Assistance"
"Connect Missional Church","","606-657-2529","","Food Assistance"
"Corbin Presbyterian Church","601 Master St Corbin, KY","606-528-1444","","Food Assistance"
"Corbin United Effort","","606-528-7523","","Food Assistance/ help with utilities"
"Daniel Boone Community Action","","606-864-2351","","Provides rent and lodging assistance, supportive services, utilities assistance and food pantry"
"Dorthae Pentecostal Church","2381 St Hwy 1223 Corbin, KY","606-656-3721","","Food Assistance"
"East Bernstadt United Methodist Church","213 Littontown Rd #209 East Bernstadt","606-309-8452 606-309-8453","","Food box by appointment / have some clothing items"
"East Pittsburg Baptist Church","","606-864-2822","","Food Assistance"
"Emergency Food Box Program","","859-288-5319","","food"
"Faith Ministries Church","2301 KY-490 East Bernstadt","","","Free Dinner Fridays at 7 pm. also has some clothing items. located across from the Ape Yrad Market in EB"
"Fed by Grace Food Pantry","502 Barbourville Rd London, KY","606-864-4635 606-864-4884","","Turesdays from 11-1"
"First Baptist Church Corbin","401 Laurel Ave Corbin, KY","606-528-4738","","Food pantry"
"First Baptist Church","804 W. 5th St. London, KY 40741","606-864-4194","","Food Assistance"
"First Christian Church","100 South Kentucky Ave Corbin, KY","606-528-1655","","Food Assistance"
"First Presbyterian Church","123 Keavy Rd. London, KY 40744","606-864-6789","","Food Pantry Wednesdays @ 11:00 first come first serve"
"First United Methodist Church, London","","606-864-5226","","Emergency Food Pantry Mon - Thurs 10:00-2:00 call when you get to the church."
"God's Pantry","1215 E 4th St. London, KY 40741","606-862-6693","http://godsfoodbank.org/",""
"Grace Fellowship Church of God","911 TLC Ln London, KY 40741","606-864-4635","","Food Pantry Tuesday from 11-1"
"Grace on the Hill Food Pantry","1632 Cumberland Falls Hwy Corbin, KY","606-528-6840","","Tuesday's 10-2; Located next to Corbin hospital"
"Hart Baptist Church London","12 Hart Church Rd. London, KY","606-864-9366","","Food Pantry 3rd Tuesday of each month @ 12:00 noon, card is needed"
"Helping Hands Dorthae Pantry","","606-528-2102","","Monday and Thursday 10-12"
"Isaiah 58:10 Ministries and Outreach FB: Isaiah 58:10 Ministries & Outreach","220 E. 4th St London, Ky 40741","502-801-9119","http://is5810.com","We take sack lunches to the homeless and needy in our community. We also offer blankets, jackets and other cold weather supplies during the colder months, and we offer Resource Guides in case someone has specific needs that we can not provide, but we know where they can have that need met. And we run the Soup Kitchen at the Good Samaritan House, 220 E. 4th St London, five days a week from 11-1, Mon, Tures, Thurs, Fri, & Sat."
"KCEOC","","606-546-3152","","food assistance and Womens support center"
"Masters Hand Ministries","","606-528-5935","","food assistance"
"New Harvest Church","4185 W. Laurel Rd. London, KY","606-260-9164","","Food Assistance"
"New Hope Ministries","8254 State Hwy 1232 Corbin, KY","606-528-5575","","Food Assistance"
"New Life Worship Center, (Compassion in Action)","5th St in London, KY","","","They offer a hot meal on Wednesdays from 11-1, they have clothing and shoes available. call ahead, they'll prepare a bag for you. Also on FB"
"New Salem Baptist Church","2182 N. Laurel Rd London, KY 40741","606-843-7802 / 606-843-7822","","Food Pantry call or check FB for dates & times Emergency Food Baskets available."
"Restoration Ministries","420 Lily School Rd","606-261-7926 606-231-0077","","free hot meals & sack lunch ministry. There's a blessing box outside"
"Sisters of Devine Providence","","606-528-5077","","food assistance"
"Sophies Place formerly Cleo's's Closet","420 Tobacco Rd. London","606-594-7581","","Call ahead, POC: Lori; Offers free clothing and other supplies to those in need"
"St. John Episcopal Church","701 E. Engineer St Corbin, Ky","606-528-1659","","Food Assistance"
"St William Catholic Church","521 W. 5th St London, KY 40741","606-864-7500","","Outreach - ask for Vickie or Judy; funds for rent and utilities (required documents include warrant check from the police dept., copy of the bill, I.D., and income infor.) Also, there's a blessing box in front of the church"
"Tri-County Food Assistance Network","","606-528-7523","","Provides low income services including rent and utility assistance; hygiene products; supplemental; USDA commodity, and emergency food to low income families in Knox, Whitley and Laurel Counties. Must meet eligibility guidelines and live in one of the servicing counties."
"Trinity Chapel","242 Levi Jackson Mill Rd London, KY 40744","606-878-0337","","Food Assistance"
"West Corbin Baptist Church","200 Walden Ave Corbin, KY","606-528-7387","","Food Assistance"
"Good Samaritan House Homeless Shelter","220E 4th St. London, KY","606-862-2872","http://www.goodsamaritanhouseinc.com","To be accepted into the shelter you must be willing to follow the poicy, pass the drug test, have a letter from the police dept saying that there's no warrent out for your arrest, and you must be willing to get and keep gainful employment."
"Ryan's Place","5448 North US HWY 25 E Gray, KY","606-595-3785","","Homeless Youth ages 18-24"
"Somerset - Over My Head Shelter","","606-451-8859","","shelter"
"White Flag Ministry","Corbin, KY","606-528-4738 opt. 3","","emergency shelter and food during the winter months"
"Barbourville ARH Hospital","Barbourville","606-546-4175","","Hospital"
"CHI Saint Joseph London","London","606-330-6000","","Hospital"
"Corbin United Effort","311 Barbourville St Corbin, KY 40701","606-528-7523","",""
"Daniel Boone Community Action Agency, Inc. CSBG Homeless Program","188 Dogpatch Trading Center London, KY 40741","606-864-9121","http://danielboonecaa.org/","Rent and lodging assistance (3 days to 1 month of rental/lodging assistance); heat assistance; weatherization and housing assistance; service referrals"
"Faith Assembly of God, Salt Ministry (Service and Love Together)","390 Faith Assembly of God Church London, KY 40741","606-864-9422","http://faithagky.com/ministries","fill out the form online to request assistance with childcare, utility bills, vehicle maintenance, medical and employment."
"Housing Authority of London","100 Scott St #100 London, KY 40741","606-864-5474","http://affordablehousing.com/",""
"Laurel County Housing Authority","","606-878-0512","","Housing Assistance"
"Low Rent","","606-864-5474","","Housing Assistance"
"Mortgage and Credit Counseling - Apprisen","2265 Harrodsburg Rd. Lexington, KY 40504","800-355-2227","http://www.apprisen.com/","Financial Advocates providing HUD-approved counseling when changes in your finances impact home ownership. Offers specific solutions for mortgage delinquency and foreclosure prevention, and also provide reverse mortgage counseling. Appointments can be conducted by phone, on-line, or face to face. Other locations in Louisville, Elizabethtown, and Florence."
"Transitional Housing - London Crossroads - Cumberland River Comprehensive Care","Rt 25 London, KY 40741","606-526-9552","","transitional housing"
"Appalachia HIDTA","","606-877-2100","","Law enforcement"
"Department of Fish and Wildlife","","800-858-1549","","Law enforcement"
"Kentucky State Police","","606-878-6623","","Law enforcement"
"Laurel Co. Sheriff's Office","London","606-864-6600","","Law enforcement"
"London Police Department","London","606-878-7004","","Law enforcement"
"Laurel County Corrections","London","606-878-9431","","London City resources"
"Laurel County Courts","London","606-330-2079","","London City resources"
"London-Laurel Chamber of Commerce","London","606-864-4789","","London City resources"
"Addiction Recovery Care","","888-520-8736","","Mental Health/Substance Abuse Services"
"Church of God Worship Center","","606-401-6221","",""
"Dorthae Pentecostal Church","","606-304-1655","",""
"Fellowship United Methodist Church","","606-271-3586","",""
"First Baptist Church East Bernstadt","","606-438-3263","",""
"First Baptist Church Somerset","","606-219-8215","",""
"HIgh Street Baptist Church","","606-219-5454","",""
"Immanuel Baptist Church","","606-521-4980","",""
"Livingston Baptist Church","","859-314-7828","",""
"Northside Baptist Church","","210-904-4278","",""
"Valley Baptist Church Community Outreach Center","","606-308-3099","",""
